Tue Feb 13 20:55:02 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 20:55:02 2018 || Line: 8 || Contextual Name: main || Type: Error || Description: Test || Other: Did it work?
Tue Feb 13 20:55:02 2018 || Line: 8 || Contextual Name: main || Type: Warning || Description: Test || Other: Did it work?
Tue Feb 13 20:55:02 2018 || Line: 8 || Contextual Name: main || Type: Announce || Description: Test || Other: Did it work?
Tue Feb 13 20:55:02 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 20:55:02 2018 || Line: 15 || Contextual Name: main || Type: Note || Description: Flush || Other: after flushing
Tue Feb 13 21:01:44 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:01:44 2018 || Line: 8 || Contextual Name: main || Type: Error || Description: Test || Other: Did it work?
Tue Feb 13 21:01:44 2018 || Line: 8 || Contextual Name: main || Type: Warning || Description: Test || Other: Did it work?
Tue Feb 13 21:01:44 2018 || Line: 8 || Contextual Name: main || Type: Announce || Description: Test || Other: Did it work?
Tue Feb 13 21:01:44 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:01:44 2018 || Line: 15 || Contextual Name: main || Type: Note || Description: Flush || Other: after flushing
Tue Feb 13 21:03:35 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:03:35 2018 || Line: 8 || Contextual Name: main || Type: Error || Description: Test || Other: Did it work?
Tue Feb 13 21:03:35 2018 || Line: 8 || Contextual Name: main || Type: Warning || Description: Test || Other: Did it work?
Tue Feb 13 21:03:35 2018 || Line: 8 || Contextual Name: main || Type: Announce || Description: Test || Other: Did it work?
Tue Feb 13 21:03:35 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:03:35 2018 || Line: 15 || Contextual Name: main || Type: Note || Description: Flush || Other: after flushing
Tue Feb 13 21:04:21 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:04:21 2018 || Line: 8 || Contextual Name: main || Type: Error || Description: Test || Other: Did it work?
Tue Feb 13 21:04:21 2018 || Line: 8 || Contextual Name: main || Type: Warning || Description: Test || Other: Did it work?
Tue Feb 13 21:04:21 2018 || Line: 8 || Contextual Name: main || Type: Announce || Description: Test || Other: Did it work?
Tue Feb 13 21:04:21 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:04:21 2018 || Line: 15 || Contextual Name: main || Type: Note || Description: Flush || Other: after flushing
Tue Feb 13 21:06:56 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:06:56 2018 || Line: 8 || Contextual Name: main || Type: Error || Description: Test || Other: Did it work?
Tue Feb 13 21:06:56 2018 || Line: 8 || Contextual Name: main || Type: Warning || Description: Test || Other: Did it work?
Tue Feb 13 21:06:56 2018 || Line: 8 || Contextual Name: main || Type: Announce || Description: Test || Other: Did it work?
Tue Feb 13 21:06:56 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:06:56 2018 || Line: 15 || Contextual Name: main || Type: Note || Description: Flush || Other: after flushing
Tue Feb 13 21:07:38 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:07:38 2018 || Line: 8 || Contextual Name: main || Type: Error || Description: Test || Other: Did it work?
